correctTag,targetWord,orderingId,sessionId,draggedTag,serie
Pronome,demais,30,BCabI356eF,Preposição,6-ensino-fundamental
Verbo Auxiliar,tinham,25,nAF45HKVn3,Verbo,6-ensino-fundamental
Pronome,demais,31,BCabI356eF,Verbo,6-ensino-fundamental
Substantivo,competição,3,EIMbd2n8Al,Pronome,6-ensino-fundamental
Pronome,demais,32,BCabI356eF,Conjunção Subordinativa,6-ensino-fundamental
Substantivo,competição,4,EIMbd2n8Al,Substantivo,6-ensino-fundamental
Pronome,ele,4,gzoA3IZOzc,Preposição,6-ensino-fundamental
Pronome,demais,33,BCabI356eF,Verbo,6-ensino-fundamental
Verbo Auxiliar,tinham,26,nAF45HKVn3,Conjunção Subordinativa,6-ensino-fundamental
Artigo,a,5,EIMbd2n8Al,Interjeição,6-ensino-fundamental
Pronome,demais,34,BCabI356eF,Preposição,6-ensino-fundamental
Artigo,a,6,EIMbd2n8Al,Verbo,6-ensino-fundamental
Pronome,demais,35,BCabI356eF,Advérbio,6-ensino-fundamental
Pronome,demais,36,BCabI356eF,Artigo,6-ensino-fundamental
Artigo,O,0,AsXzQly7kO,Artigo,6-ensino-fundamental
Pontuação,.,2,QZnBYoK4La,Pontuação,6-ensino-fundamental
Artigo,a,7,EIMbd2n8Al,Conjunção Subordinativa,6-ensino-fundamental
Pronome,demais,37,BCabI356eF,Pronome,6-ensino-fundamental
Substantivo,documentos,27,nAF45HKVn3,Conjunção Subordinativa,6-ensino-fundamental
Artigo,a,8,EIMbd2n8Al,Artigo,6-ensino-fundamental
Adjetivo,velho,1,AsXzQly7kO,Substantivo,6-ensino-fundamental
Pronome,Ele,3,QZnBYoK4La,Pronome,6-ensino-fundamental
Adjetivo,velho,2,AsXzQly7kO,Adjetivo,6-ensino-fundamental
Verbo,ganhado,9,EIMbd2n8Al,Verbo Auxiliar,6-ensino-fundamental
Advérbio,realmente,4,QZnBYoK4La,Substantivo,6-ensino-fundamental
